provinsi;tahun;klasifikasi;lpe_tw1;lpe_tw2;lpe_tw3;lpe_tw4;lpe_ctc;kontribusi;pdrb_perkapita;inflasi;pma;pmdn;ekspor_top3;naker_top;ipm;kemiskinan;tpt;gini;interpretasi_ekonomi_riil;rekomendasi_ekonomi_riil
Sumatera Selatan;2020;Daerah Berkembang Cepat;4.0;-1.6;-1.4;-1.2;-0.1;2.9;53.8;1.5;1543.9;15824.5;-;;71.6;13.0;5.5;0.338;Ekonomi Sumatera Selatan ditopang oleh sektor energi, khususnya batubara dan gas, serta transportasi dan konstruksi. Namun, ketergantungan pada energi fosil membuat ekonomi Sumatera Selatan rentan terhadap tren transisi energi global.;Sumatera Selatan perlu mempercepat hilirisasi energi sekaligus menyiapkan transformasi ekonomi. Pengembangan batubara ke produk turunan bernilai tambah (coal to chemical) perlu dipercepat, seiring dengan memanfaatkan posisi geografis sebagai hub logistik Sumatera bagian selatan melalui penguatan jaringan distribusi dan pergudangan modern yang terintegrasi dengan jalan tol Trans-Sumatera.
Sumatera Selatan;2021;Daerah Berkembang Cepat;-0.4;5.7;3.9;5.1;3.6;2.9;57.7;1.8;1259.7;16266.9;-;;71.8;12.8;5.0;0.34;Ekonomi Sumatera Selatan ditopang oleh sektor energi, khususnya batubara dan gas, serta transportasi dan konstruksi. Namun, ketergantungan pada energi fosil membuat ekonomi Sumatera Selatan rentan terhadap tren transisi energi global.;Sumatera Selatan perlu mempercepat hilirisasi energi sekaligus menyiapkan transformasi ekonomi. Pengembangan batubara ke produk turunan bernilai tambah (coal to chemical) perlu dipercepat, seiring dengan memanfaatkan posisi geografis sebagai hub logistik Sumatera bagian selatan melalui penguatan jaringan distribusi dan pergudangan modern yang terintegrasi dengan jalan tol Trans-Sumatera.
Sumatera Selatan;2022;Daerah Berkembang Cepat;5.1;5.3;5.3;5.2;5.2;3.0;68.2;5.9;1226.3;23526.0;-;;72.5;12.0;4.6;0.33;Ekonomi Sumatera Selatan ditopang oleh sektor energi, khususnya batubara dan gas, serta transportasi dan konstruksi. Namun, ketergantungan pada energi fosil membuat ekonomi Sumatera Selatan rentan terhadap tren transisi energi global.;Sumatera Selatan perlu mempercepat hilirisasi energi sekaligus menyiapkan transformasi ekonomi. Pengembangan batubara ke produk turunan bernilai tambah (coal to chemical) perlu dipercepat, seiring dengan memanfaatkan posisi geografis sebagai hub logistik Sumatera bagian selatan melalui penguatan jaringan distribusi dan pergudangan modern yang terintegrasi dengan jalan tol Trans-Sumatera.
Sumatera Selatan;2023;Daerah Berkembang Cepat;5.1;5.2;5.1;4.9;5.1;3.0;72.0;3.2;1479.0;25602.0;-;;73.2;-;4.1;-;Ekonomi Sumatera Selatan ditopang oleh sektor energi, khususnya batubara dan gas, serta transportasi dan konstruksi. Namun, ketergantungan pada energi fosil membuat ekonomi Sumatera Selatan rentan terhadap tren transisi energi global.;Sumatera Selatan perlu mempercepat hilirisasi energi sekaligus menyiapkan transformasi ekonomi. Pengembangan batubara ke produk turunan bernilai tambah (coal to chemical) perlu dipercepat, seiring dengan memanfaatkan posisi geografis sebagai hub logistik Sumatera bagian selatan melalui penguatan jaringan distribusi dan pergudangan modern yang terintegrasi dengan jalan tol Trans-Sumatera.
Sumatera Selatan;2024;Daerah Berkembang Cepat;5.1;5.0;5.0;5.1;5.0;3.0;75.1;1.2;2283.0;36671.0;-;;73.8;10.5;3.9;0.331;Ekonomi Sumatera Selatan ditopang oleh sektor energi, khususnya batubara dan gas, serta transportasi dan konstruksi. Namun, ketergantungan pada energi fosil membuat ekonomi Sumatera Selatan rentan terhadap tren transisi energi global.;Sumatera Selatan perlu mempercepat hilirisasi energi sekaligus menyiapkan transformasi ekonomi. Pengembangan batubara ke produk turunan bernilai tambah (coal to chemical) perlu dipercepat, seiring dengan memanfaatkan posisi geografis sebagai hub logistik Sumatera bagian selatan melalui penguatan jaringan distribusi dan pergudangan modern yang terintegrasi dengan jalan tol Trans-Sumatera.
Sumatera Selatan;2025;Daerah Berkembang Cepat;5.2;5.4;5.2;5.5;5.3;3.0;80.7;2.9;967.0;47194.0;"Bahan Bakar Mineral; Karet dan Barang dari Karet; Pulp dari Kayu";;74.8;9.9;3.7;0.298;Ekonomi Sumatera Selatan ditopang oleh sektor energi, khususnya batubara dan gas, serta transportasi dan konstruksi. Namun, ketergantungan pada energi fosil membuat ekonomi Sumatera Selatan rentan terhadap tren transisi energi global.;Sumatera Selatan perlu mempercepat hilirisasi energi sekaligus menyiapkan transformasi ekonomi. Pengembangan batubara ke produk turunan bernilai tambah (coal to chemical) perlu dipercepat, seiring dengan memanfaatkan posisi geografis sebagai hub logistik Sumatera bagian selatan melalui penguatan jaringan distribusi dan pergudangan modern yang terintegrasi dengan jalan tol Trans-Sumatera.
Sumatera Selatan;2026;Daerah Berkembang Cepat;5.3;-;-;-;5.3;-;-;0.0;-;-;-;;-;-;-;-;Ekonomi Sumatera Selatan ditopang oleh sektor energi, khususnya batubara dan gas, serta transportasi dan konstruksi. Namun, ketergantungan pada energi fosil membuat ekonomi Sumatera Selatan rentan terhadap tren transisi energi global.;Sumatera Selatan perlu mempercepat hilirisasi energi sekaligus menyiapkan transformasi ekonomi. Pengembangan batubara ke produk turunan bernilai tambah (coal to chemical) perlu dipercepat, seiring dengan memanfaatkan posisi geografis sebagai hub logistik Sumatera bagian selatan melalui penguatan jaringan distribusi dan pergudangan modern yang terintegrasi dengan jalan tol Trans-Sumatera.
Bengkulu;2011;Daerah Relatif Tertinggal;8.1;7.8;6.8;4.8;6.9;0.4;18.4;4.0;43.1;-;-;;66.0;-;3.5;0.372;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2012;Daerah Relatif Tertinggal;6.7;6.1;6.6;8.0;6.8;0.4;20.3;4.6;30.4;52.6;-;;66.6;17.5;3.6;0.36;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2013;Daerah Relatif Tertinggal;6.6;6.6;5.5;5.6;6.1;0.4;22.4;9.9;22.3;109.6;-;;67.5;17.8;4.6;0.372;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2014;Daerah Relatif Tertinggal;5.5;5.1;5.5;5.8;5.5;0.4;24.6;10.8;19.3;7.8;-;;68.1;17.1;3.5;0.355;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2015;Daerah Relatif Tertinggal;5.3;5.2;5.2;4.9;5.1;0.4;26.8;3.3;20.6;553.9;-;;68.6;17.2;4.9;0.371;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2016;Daerah Relatif Tertinggal;5.0;5.4;5.2;5.5;5.3;0.4;29.1;5.0;55.7;949.1;-;;69.3;17.0;3.3;0.354;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2017;Daerah Relatif Tertinggal;5.2;5.3;4.9;4.6;5.0;0.4;31.4;3.6;138.7;296.5;-;;70.0;15.6;3.7;0.349;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2018;Daerah Relatif Tertinggal;5.1;5.1;5.0;4.7;5.0;0.4;33.8;2.4;136.6;4902.8;-;;70.6;15.4;3.4;0.355;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2019;Daerah Relatif Tertinggal;5.0;5.0;5.0;4.7;4.9;0.5;36.6;2.9;144.8;5458.1;-;;71.2;14.9;3.3;0.329;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2020;Daerah Relatif Tertinggal;3.6;-0.7;-0.5;-2.4;0.0;0.5;36.6;0.9;192.3;5399.2;-;;72.9;15.3;4.1;0.323;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2021;Daerah Relatif Tertinggal;-1.6;6.5;2.8;5.5;3.3;0.5;39.2;2.4;23.7;4923.5;-;;73.2;14.4;3.7;0.321;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2022;Daerah Relatif Tertinggal;3.1;4.8;4.5;4.7;4.3;0.5;43.8;5.9;52.2;6957.3;-;;73.7;14.3;3.6;0.315;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2023;Daerah Relatif Tertinggal;4.1;4.2;4.0;4.8;4.3;0.5;46.3;3.1;76.0;7219.0;-;;74.3;-;3.4;-;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2024;Daerah Relatif Tertinggal;4.6;4.7;4.6;4.6;4.6;0.5;49.2;0.8;87.0;7982.0;-;;74.9;12.5;3.1;0.343;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2025;Daerah Relatif Tertinggal;4.8;5.0;4.6;4.8;4.8;0.5;52.3;2.8;17.0;2761.0;"Bahan Bakar Mineral; Karet dan Barang dari Karet; Binatang Hidup";;75.7;11.9;3.4;0.339;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Bengkulu;2026;Daerah Relatif Tertinggal;4.7;-;-;-;4.7;-;-;0.0;-;-;-;;-;-;-;-;Bengkulu didominasi oleh aktivitas jasa Kesehatan, pertanian, real estate, dan jasa pendidikan. Namun, bengkulu masih menghadapi keterbatasan konektivitas akibat posisi geografis yang relatif terisolasi, sehingga akses terhadap pasar dan jaringan distribusi menjadi terbatas. Padahal, secara posisi Bengkulu memiliki akses langsung ke Samudera Hindia yang belum dimanfaatkan optimal.;Peran Bengkulu dapat diperkuat sebagai pintu keluar alternatif ke arah barat (Samudra Hindia), terutama melalui pengembangan Pelabuhan Pulau Baai untuknmenjadi jalur ekspor bagi komoditas dari wilayah Sumatera bagian tengah seperti Sumatera Selatan dan Jambi, sekaligus membantu mengurangi kepadatan distribusi di koridor timur.
Lampung;2011;Daerah Relatif Tertinggal;8.7;7.9;4.9;4.8;6.6;2.2;22.0;4.2;79.5;824.4;-;;64.2;-;6.4;0.322;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
Lampung;2012;Daerah Relatif Tertinggal;5.2;5.1;8.2;7.3;6.4;2.2;23.9;4.3;114.3;304.2;-;;64.9;15.7;5.2;0.356;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
Lampung;2013;Daerah Relatif Tertinggal;4.6;5.5;6.4;6.6;5.8;2.1;25.8;7.6;46.8;1325.3;-;;65.7;14.4;5.7;0.356;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
Lampung;2014;Daerah Relatif Tertinggal;5.9;4.7;5.0;4.7;5.1;2.2;28.8;8.1;156.5;3495.7;-;;66.4;14.2;4.8;0.331;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
Lampung;2015;Daerah Relatif Tertinggal;4.9;5.1;5.2;5.3;5.1;2.2;31.2;4.3;257.7;1102.3;-;;67.0;13.5;5.1;0.352;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
Lampung;2016;Daerah Relatif Tertinggal;5.1;5.2;5.2;5.0;5.1;2.3;34.1;2.8;85.7;6031.8;-;;67.7;13.9;4.6;0.358;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
Lampung;2017;Daerah Relatif Tertinggal;5.1;5.0;5.2;5.3;5.2;2.3;37.0;3.0;120.6;7014.8;-;;68.3;13.0;4.3;0.333;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
Lampung;2018;Daerah Relatif Tertinggal;5.1;5.3;5.2;5.3;5.2;2.2;39.7;2.7;132.3;12314.7;-;;69.0;13.0;4.0;0.326;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
Lampung;2019;Daerah Relatif Tertinggal;5.2;5.6;5.1;5.1;5.3;2.3;42.2;2.7;155.2;2428.9;-;;69.6;12.3;4.0;0.331;Sebagai “pintu gerbang Sumatera”, Lampung ditopang  oleh sektor agribisnis seperti kopi, gula, dan peternakan. Lampung memiliki peran strategis karena menjadi penghubung utama arus barang Sumatera – Jawa. Namun,  efisiensi di Pelabuhan Bakauheni masih sering menjadi bottleneck distribusi nasional. Di sisi lain, isu keamanan di beberapa wilayah turut memengaruhi persepsi iklim investasi.;Lampung dapat diarahkan pada industrialisasi berbasis pertanian, sehingga perannya tidak berhenti sebagai pemasok bahan baku ke Jawa. Kawasan industri pengolahan pangan dapat dikembangkan di sekitar koridor tol dan simpul logistik. Disamping itu, integrasi peternakan sapi dengan perkebunan sawit (Siska) perlu diperluas dalam skala korporasi, sehingga membentuk ekosistem yang lebih efisien, sekaligus memperkuat pasokan pangan hewani untuk Sumatera dan Jawa.
